customer_id,first_name,middle_name,last_name,email,phone,date_of_birth,gender,nationality,address,city,country,signup_date,active_flag
CUS0000001,Priya,Ronald,Kowalski,priyakowalski993@aol.com,+18364326445,1987-06-21,Female,Israel,6834 Elm St,Amman,Israel,2021-11-09,True
CUS0000002,Joshua,William,Santos,joshua_santos954@outlook.com,+10950618343,1975-03-06,Male,United States,4461 Church St,Singapore,United States,2026-06-19,True
CUS0000003,Sandra,Sarah,Campbell,sandra.campbell@gmail.com,(471) 308-2387,1951-10-07,Male,United Arab Emirates,733 Lake Dr,Melbourne,United Arab Emirates,2016-04-11,True
CUS0000004,Karen,Lisa,Patel,karen.patel713@yahoo.com,3130086447,2006-07-20,Male,United States,8954 2nd St,Shanghai,United States,2020-05-20,True
CUS0000005,Jonathan,, Novak,jonathan_novak634@mail.com,7018741659,1993-12-15,Female,United States,5624 1st Ave,Paris,United States,2015-04-03,True
CUS0000006,Heather,,Baker,heatherbaker@aol.com,832-631-8898,2005-01-19,Female,Canada,2587 Maple Dr,Manila,Canada,2021-08-09,True
CUS0000007,Donald,,Scott,donald.scott790@gmail.com,328-403-0267,2002-08-11,Female,France,3285 2nd St,Lima,France,2020-06-12,True
CUS0000008,Sven,,Silva,svensilva706@mail.com,3251454691,1980-12-16,Male,China,1458 1st Ave,Edinburgh,China,2024-12-19,True
CUS0000009,Stephanie,Richard,Suzuki,stephaniesuzuki431@aol.com,+15103899030,1989-11-05,Prefer not to say,Kenya,973 Oak Ave,Lagos,Kenya,2022-12-25,True
CUS0000010,Janet,Ahmed,Clark,janet.clark@aol.com,436-426-8387,2002-04-04,Male,Philippines,412 1st Ave,Casablanca,Philippines,2015-07-18,True
CUS0000011,kimberly,Donna,Nguyen,kimberlynguyen@gmail.com,9700137455,1967-02-05,Female,United States,8736 Park Rd,St. Petersburg,United States,2023-09-13,True
CUS0000012,Thomas,Sofia,Ivanov,thomas_ivanov@mail.com,(280) 407-8669,2007-03-19,Female,Taiwan,7236 Lake Dr,San Diego,Taiwan,2021-09-09,True
CUS0000013,Kathleen,Joseph,Singh,kathleensingh388@aol.com,+12637785052,1957-08-14,Male,United States of America,2767 Sunset Blvd,Tunis,United States,2016-01-27,True
CUS0000014,Eric,,Lewis,eric.lewis954@aol.com,+15371881312,1957-10-28,Male,Singapore,827 River Rd,Seattle,Singapore,2024-10-23,True
CUS0000015,Laura,Mohammed,Ali,lauraali236@aol.com,3816065010,1972-12-11,Male,Belgium,7963 Church St,Oslo,Belgium,2016-11-06,True
CUS0000016,Timothy,Jerry,Lee,timothylee382@aol.com,873-791-2649,1974-08-06,Male,Switzerland,9394 Church St,Jakarta,Switzerland,2021-04-18,True
CUS0000017,Nicole,Jonathan,Hernandez,nicole.hernandez@yahoo.com,+18229793532,1991-01-07,Female,Iceland,1301 Elm St,Calgary,Iceland,2021-01-31,True
CUS0000018,Scott,Sandra,jackson,scott.jackson@aol.com,+19354694585,1953-07-25,Male,Ireland,9373 Elm St,Philadelphia,Ireland,2026-07-28,True
CUS0000019,Charles,,Fernandez,charles_fernandez163@yahoo.com,866-040-7221,1995-12-24,Male,Germany,198 Church St,Nairobi,Germany,2019-01-04,True
CUS0000020,Benjamin,,Suzuki,benjaminsuzuki@aol.com,460-145-4427,1946-12-26,Female,Morocco,2176 Main St,Birmingham,Morocco,2026-05-08,True
CUS0000021, Donna,Rachel,Hernandez,donna.hernandez@gmail.com,804-171-7097,2005-05-31,Female,Bangladesh,3734 Sunset Blvd,Las Vegas,Bangladesh,2026-07-27,True
CUS0000022,Dennis,,Costa,dennis.costa@outlook.com,(954) 800-8263,2002-08-09,Female,Japan,1216 River Rd,Reykjavik,Japan,2018-04-20,True
CUS0000023,Cynthia,,Robinson,cynthiarobinson@aol.com,5472164035,1963-02-19,Female,United States,8067 Oak Ave,Denver,United States,2016-09-01,True
CUS0000024,Mark,Jason,Taylor,mark_taylor@aol.com,+19106652328,1959-12-01,Male,Belgium,7290 River Rd,Manchester,Belgium,2023-09-03,True
CUS0000025,Nancy,Susan,Thompson,nancy.thompson786@aol.com,(800) 434-1164,1972-08-02,Male,India,8539 Main St,Denver,India,2019-05-31,True
CUS0000026,Ana,,Garcia,anagarcia@mail.com,(650) 982-4071,1949-05-14,Female,United States,814 Lake Dr,Paris,United States,2018-09-18,True
CUS0000027,Gregory,,Taylor,gregorytaylor826@gmail.com,161-886-0825,2007-09-19,Male,India,3067 Oak Ave,Lyon,India,2024-12-22,True
CUS0000028,Margaret,Donna,Gonzalez,margaretgonzalez239@aol.com,962-154-7596,1994-05-31,Female,USA,2747 Lake Dr,Mumbai,United States,2023-08-30,True
CUS0000029,  Jacob  ,Richard,Gonzalez,jacob.gonzalez65@gmail.com,+18453406982,1965-03-01,Female,United States,6689 2nd St,Auckland,United States,2019-03-11,True
CUS0000030,Joseph,,Harris,josephharris161@outlook.com,130-322-7907,1958-03-20,Female,Canada,5953 1st Ave,Bogota,Canada,2019-10-15,True
CUS0000031,Priya,Joshua,yamamoto,priya.yamamoto626@yahoo.com,7008917633,1960-03-08,Female,UAE,6139 1st Ave,Riyadh,United Arab Emirates,2021-03-17,True
CUS0000032,Heather,,Carter,heather_carter@aol.com,+15141952645,1977-12-12,Female,United States,5932 Lake Dr,Doha,United States,2023-04-02,True
CUS0000033,Dennis,,Anderson,dennis_anderson@outlook.com,+16507065705,1948-09-09,Male,United States,5803 Highland Ave,Colombo,United States,2022-04-04,True
CUS0000034,Sharon,,Wang,sharon_wang@gmail.com,2358145085,2001-04-29,Male,Germany,3181 Oak Ave,Boston,Germany,2016-08-27,True
CUS0000035,Karen,Kimberly,choi,karen.choi333@yahoo.com,(356) 513-9798,2006-04-29,Female,Italy,1558 Church St,Kuala Lumpur,Italy,2025-08-23,True
CUS0000036,Ryan,,Martinez,ryan_martinez209@aol.com,587-275-4037,1963-11-01,Male,Peru,8423 Sunset Blvd,Dubai,Peru,2015-02-05,True
