crew_id,first_name,last_name,role,airline_id,hire_date,status,license_number,base_airport_id
CRW000001,Jennifer,Patel,Flight Attendant,AL0016,2017-09-14,Active,LIC-418794,APT00054
CRW000002,Anna,Johnson,Flight Attendant,AL0011,2006-09-10,Active,LIC-119172,APT00208
CRW000003,Matthew,Fernandez,Flight Attendant,AL0004,2001-10-09,Active,LIC-842982,APT00018
CRW000004,Sven,Jones,Purser,AL0004,2016-02-24,Active,LIC-300666,APT00060
CRW000005,Jessica,Clark,Captain,AL0014,2019-03-18,Active,LIC-624041,APT00107
CRW000006,Diego,Choi,Flight Attendant,AL0010,2015-06-10,Active,LIC-147925,APT00039
CRW000007,Benjamin,Gonzalez,Flight Attendant,AL0012,2012-10-17,Inactive,LIC-156485,APT00230
CRW000008,Richard,Garcia,Flight Attendant,AL0008,1995-01-28,Active,LIC-908332,APT00087
CRW000009,Linda,Muller,Captain,AL0007,2015-01-15,Active,LIC-705243,APT00061
CRW000010,Melissa,Garcia,Flight Attendant,AL0014,2014-06-06,Active,LIC-104767,APT00064
CRW000011,Kenneth,Watanabe,Flight Attendant,AL0001,2007-12-16,On Leave,LIC-190590,APT00048
CRW000012,Emily,Torres,First Officer,AL0009,2002-08-29,Active,LIC-543467,APT00166
CRW000013,Amy,Tanaka,Captain,AL0008,2025-10-05,Active,LIC-712328,APT00121
CRW000014,Jessica,Martin,Flight Attendant,AL0016,2006-10-15,Active,LIC-481598,APT00058
CRW000015,Jessica,Lopez,First Officer,AL0015,2003-07-19,Inactive,LIC-885474,APT00219
CRW000016,Katherine,Pereira,Flight Attendant,AL0009,2017-03-11,Active,LIC-687469,APT00165
CRW000017,Sven,Schmidt,Flight Attendant,AL0006,2010-02-21,Active,LIC-652829,APT00101
CRW000018,Steven,Yamamoto,First Officer,AL0005,2012-07-06,Active,LIC-360769,APT00129
CRW000019,Noah,Sanchez,Captain,AL0005,2015-05-15,Active,LIC-713751,APT00165
CRW000020,Michelle,Allen,Flight Attendant,AL0006,2006-08-01,On Leave,LIC-886324,APT00039
CRW000021,Kenneth,Campbell,Purser,AL0016,1999-10-14,Active,LIC-144056,APT00203
CRW000022,David,Scott,Flight Attendant,AL0001,2000-04-05,Active,LIC-760910,APT00065
CRW000023,Ronald,Martin,Purser,AL0001,2024-07-09,Active,LIC-891758,APT00008
CRW000024,Cynthia,Walker,First Officer,AL0011,2010-11-18,On Leave,LIC-489064,APT00131
CRW000025,Emma,Carter,Flight Attendant,AL0005,2008-02-07,Active,LIC-789310,APT00220
CRW000026,Charles,Brown,Flight Attendant,AL0017,2005-01-12,Active,LIC-422223,APT00184
CRW000027,Daniel,Clark,Flight Attendant,AL0016,2017-09-02,Active,LIC-273591,APT00078
CRW000028,Stephanie,White,Flight Attendant,AL0016,2023-09-06,Active,LIC-834298,APT00100
CRW000029,William,Garcia,Flight Attendant,AL0010,2019-02-27,Active,LIC-380018,APT00149
CRW000030,Sarah,Martinez,Flight Attendant,AL0009,2011-10-15,On Leave,LIC-781353,APT00059
CRW000031,Pamela,Flores,Flight Attendant,AL0009,2009-12-08,Active,LIC-383847,APT00206
CRW000032,Carlos,Rodriguez,Purser,AL0004,2022-03-16,Inactive,LIC-459099,APT00074
CRW000033,Jonathan,Ramirez,Captain,AL0012,2021-11-26,Active,LIC-716591,APT00055
