passenger_id,booking_id,first_name,middle_name,last_name,date_of_birth,gender,passport_number,loyalty_id
PAX00000001,BK00000001,Janet,,Flores,1981-09-11,Other,P95247940,
PAX00000002,BK00000002,Kenneth,,Anderson,1943-05-27,Male,P42737818,
PAX00000003,BK00000002,Amy,,Moore,2020-08-01,Male,P25532556,
PAX00000004,BK00000003,Chen,Ronald,Flores,1974-01-01,Female,P97801021,
PAX00000005,BK00000003,Jason,,Silva,1998-05-20,Male,P46603399,
PAX00000006,BK00000003,Richard,,Perez,1954-01-12,Male,,
PAX00000007,BK00000003,Sven,,Choi,1940-04-27,Female,P86918638,
PAX00000008,BK00000004,Justin,,King,1953-09-15,Male,P32187805,
PAX00000009,BK00000004,Shirley,,Singh,1969-04-05,Male,P47026196,LOY0006257
PAX00000010,BK00000005,Shirley,,Young,1950-06-13,Male,,LOY0001987
PAX00000011,BK00000006,Robert,,Ali,1983-09-29,Female,P52936831,
PAX00000012,BK00000007,Laura,,Ali,2000-08-29,Female,P59996862,
PAX00000013,BK00000007,Charles,,Flores,1982-09-24,Female,P22938544,LOY0029690
PAX00000014,BK00000007,Gregory,Christine,Nelson,1981-02-20,Female,P35322142,
PAX00000015,BK00000008,Frank,,Lewis,2012-03-13,Male,P77035439,LOY0004132
PAX00000016,BK00000009,David,Anna,Oliveira,1975-01-21,Female,P91175407,
PAX00000017,BK00000010,Sarah,Debra,Harris,1951-09-12,Male,P97300713,
PAX00000018,BK00000010,Catherine,,Roberts,1994-04-01,Female,P10679097,
PAX00000019,BK00000011,Karen,,Nguyen,2017-08-15,Male,,
PAX00000020,BK00000011,Brenda,,Novak,2023-03-02,Male,P77295680,
PAX00000021,BK00000012,Donald,,Diaz,2022-09-02,Male,P41420310,
PAX00000022,BK00000012,Samantha,,Jones,1971-01-20,Female,P21063799,
PAX00000023,BK00000013,William,,Diaz,1939-07-29,Female,P59475405,
PAX00000024,BK00000014,Dmitri,,Carter,1960-08-24,Female,P17681444,
PAX00000025,BK00000015,Janet,,Ramirez,1937-07-27,Male,P76425892,
PAX00000026,BK00000016,Emma,Brandon,Perez,1960-04-17,Male,P60018049,
PAX00000027,BK00000016,Amy,,Thomas,1939-12-24,Male,,LOY0027003
